Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jalen Johnson,ATL,46,32.0,2024-01-28,22-041,ATL,,TOR,W (+1),1,41:58,6.0,17.0,0.353,1.0,4.0,0.25,4.0,4.0,1.0,3.0,9.0,12.0,5.0,2.0,0.0,2.0,4.0,17.0,14.2,6.0
Jalen Johnson,ATL,47,33.0,2024-01-30,22-043,ATL,,LAL,W (+16),1,34:54,8.0,14.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,1.0,10.0,11.0,3.0,3.0,0.0,0.0,5.0,19.0,19.2,3.0
Jalen Johnson,ATL,48,34.0,2024-02-02,22-046,ATL,,PHO,W (+9),1,37:44,6.0,14.0,0.429,2.0,6.0,0.333,2.0,3.0,0.667,0.0,7.0,7.0,4.0,1.0,1.0,1.0,2.0,16.0,13.0,-2.0
Jalen Johnson,ATL,49,35.0,2024-02-03,22-047,ATL,,GSW,W (+7),1,43:14,9.0,20.0,0.45,2.0,6.0,0.333,1.0,1.0,1.0,3.0,10.0,13.0,8.0,0.0,1.0,0.0,3.0,21.0,20.8,-3.0
Jalen Johnson,ATL,50,36.0,2024-02-05,22-049,ATL,,LAC,L (-5),1,37:05,3.0,14.0,0.214,1.0,3.0,0.333,2.0,3.0,0.667,1.0,6.0,7.0,5.0,0.0,1.0,1.0,4.0,9.0,4.1,-7.0
Jalen Johnson,ATL,51,37.0,2024-02-07,22-051,ATL,Away,BOS,L (-8),1,36:06,8.0,16.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,2.0,13.0,15.0,4.0,3.0,0.0,2.0,0.0,19.0,20.1,1.0
Jalen Johnson,ATL,52,38.0,2024-02-09,22-053,ATL,Away,PHI,W (+6),1,38:29,5.0,12.0,0.417,1.0,4.0,0.25,0.0,2.0,0.0,0.0,11.0,11.0,6.0,0.0,2.0,1.0,3.0,11.0,10.5,7.0
Jalen Johnson,ATL,53,39.0,2024-02-10,22-054,ATL,,HOU,W (+9),1,39:53,8.0,11.0,0.727,1.0,2.0,0.5,4.0,4.0,1.0,2.0,4.0,6.0,3.0,2.0,2.0,2.0,3.0,21.0,21.4,10.0
Jalen Johnson,ATL,54,40.0,2024-02-12,22-056,ATL,,CHI,L (-10),1,34:56,5.0,9.0,0.556,0.0,2.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,2.0,0.0,0.0,0.0,3.0,13.0,11.3,-13.0
Jalen Johnson,ATL,55,41.0,2024-02-14,22-058,ATL,Away,CHO,L (-23),1,37:59,9.0,18.0,0.5,0.0,5.0,0.0,1.0,2.0,0.5,5.0,7.0,12.0,0.0,0.0,2.0,2.0,3.0,19.0,13.4,-20.0
Saddiq Bey,ATL,1,1.0,2023-10-25,24-199,ATL,Away,CHO,L (-6),1,28:50,6.0,12.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,1.0,15.0,14.3,-2.0
Saddiq Bey,ATL,2,2.0,2023-10-27,24-201,ATL,,NYK,L (-6),1,25:43,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,2.9,-6.0
Saddiq Bey,ATL,5,5.0,2023-11-01,24-206,ATL,,WAS,W (+9),1,31:39,4.0,10.0,0.4,2.0,7.0,0.286,4.0,4.0,1.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,14.0,10.7,10.0
Saddiq Bey,ATL,16,16.0,2023-11-26,24-231,ATL,Away,BOS,L (-10),1,28:52,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,,3.0,5.0,8.0,1.0,0.0,0.0,0.0,3.0,7.0,6.4,-16.0
Saddiq Bey,ATL,17,17.0,2023-11-28,24-233,ATL,Away,CLE,L (-23),1,32:05,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,4.0,14.0,14.5,-22.0
Saddiq Bey,ATL,18,18.0,2023-11-30,24-235,ATL,Away,SAS,W (+2),1,33:58,5.0,8.0,0.625,3.0,4.0,0.75,0.0,0.0,,2.0,2.0,4.0,0.0,3.0,0.0,1.0,3.0,13.0,12.2,0.0
