Player,Tm,PTS,Points_Running_Avg,player_points_line
Derrick Jones Jr.,DAL,9.0,10.135,12.5
Derrick Jones Jr.,DAL,5.0,10.3,8.5
Kentavious Caldwell-Pope,DEN,10.0,10.481,8.5
Kentavious Caldwell-Pope,DEN,3.0,10.214,8.5
Kentavious Caldwell-Pope,DEN,16.0,10.167,8.5
Kentavious Caldwell-Pope,DEN,12.0,10.226,9.5
Kentavious Caldwell-Pope,DEN,5.0,10.0,9.5
Kentavious Caldwell-Pope,DEN,8.0,9.941,9.5
Kentavious Caldwell-Pope,DEN,18.0,10.056,9.5
Kentavious Caldwell-Pope,DEN,12.0,10.108,9.5
Kentavious Caldwell-Pope,DEN,11.0,10.132,10.5
Kentavious Caldwell-Pope,DEN,11.0,10.154,10.5
Kentavious Caldwell-Pope,DEN,13.0,10.225,10.5
Kentavious Caldwell-Pope,DEN,5.0,10.098,9.5
Kentavious Caldwell-Pope,DEN,10.0,10.095,10.5
Kentavious Caldwell-Pope,DEN,14.0,10.186,9.5
Kentavious Caldwell-Pope,DEN,5.0,10.068,9.5
Kentavious Caldwell-Pope,DEN,8.0,10.022,10.5
Kentavious Caldwell-Pope,DEN,12.0,10.065,10.5
Aaron Gordon,DEN,12.0,13.28,13.5
Aaron Gordon,DEN,18.0,13.462,13.5
Aaron Gordon,DEN,16.0,13.571,14.5
Aaron Gordon,DEN,30.0,14.0,14.5
Aaron Gordon,DEN,8.0,13.875,15.5
Aaron Gordon,DEN,12.0,13.818,14.5
Aaron Gordon,DEN,15.0,13.853,13.5
Aaron Gordon,DEN,20.0,14.029,13.5
Aaron Gordon,DEN,16.0,14.083,14.5
Aaron Gordon,DEN,2.0,13.757,14.5
Aaron Gordon,DEN,11.0,13.684,15.5
Aaron Gordon,DEN,9.0,13.564,15.5
Aaron Gordon,DEN,12.0,13.525,12.5
Aaron Gordon,DEN,18.0,13.634,14.5
Aaron Gordon,DEN,8.0,13.5,14.5
Jamal Murray,DEN,20.0,18.4,19.5
Jamal Murray,DEN,32.0,19.25,20.5
Jamal Murray,DEN,28.0,19.778,21.5
Jamal Murray,DEN,23.0,19.947,23.5
Jamal Murray,DEN,9.0,19.4,22.5
Jamal Murray,DEN,25.0,19.667,22.5
Jamal Murray,DEN,25.0,19.909,21.5
Jamal Murray,DEN,37.0,20.625,21.5
Jamal Murray,DEN,17.0,20.48,23.5
Jamal Murray,DEN,20.0,20.462,23.5
Jamal Murray,DEN,25.0,20.63,23.5
Jamal Murray,DEN,35.0,21.0,22.5
Jamal Murray,DEN,19.0,20.933,24.5
Jamal Murray,DEN,31.0,21.258,24.5
Jamal Murray,DEN,9.0,20.875,24.5
Jamal Murray,DEN,23.0,20.939,23.5
Jamal Murray,DEN,35.0,21.353,24.5
Michael Porter Jr.,DEN,12.0,16.31,14.5
Michael Porter Jr.,DEN,15.0,16.267,14.5
Michael Porter Jr.,DEN,19.0,16.531,15.5
Michael Porter Jr.,DEN,8.0,16.273,17.5
Michael Porter Jr.,DEN,12.0,16.147,16.5
Michael Porter Jr.,DEN,22.0,16.314,16.5
Michael Porter Jr.,DEN,8.0,16.083,16.5
Michael Porter Jr.,DEN,18.0,16.289,16.5
Michael Porter Jr.,DEN,5.0,16.0,16.5
Michael Porter Jr.,DEN,20.0,16.1,14.5
Michael Porter Jr.,DEN,25.0,16.317,15.5
Michael Porter Jr.,DEN,13.0,16.326,15.5
Michael Porter Jr.,DEN,19.0,16.386,16.5
Michael Porter Jr.,DEN,5.0,16.133,16.5
Michael Porter Jr.,DEN,5.0,15.891,13.5
Michael Porter Jr.,DEN,20.0,15.979,15.5
Cade Cunningham,DET,28.0,22.429,24.5
Cade Cunningham,DET,22.0,22.414,23.5
Cade Cunningham,DET,41.0,23.033,22.5
Cade Cunningham,DET,31.0,23.29,23.5
Cade Cunningham,DET,30.0,23.5,25.5
Cade Cunningham,DET,6.0,22.97,25.5
Cade Cunningham,DET,31.0,23.206,23.5
Cade Cunningham,DET,30.0,23.4,25.5
Cade Cunningham,DET,3.0,22.833,24.5
Simone Fontecchio,UTA,9.0,11.538,9.5
Simone Fontecchio,UTA,9.0,11.538,9.5
Simone Fontecchio,UTA,9.0,10.745,9.5
Simone Fontecchio,UTA,9.0,10.745,9.5
Simone Fontecchio,UTA,16.0,12.824,11.5
Simone Fontecchio,UTA,16.0,12.824,11.5
Simone Fontecchio,UTA,16.0,11.235,11.5
Simone Fontecchio,UTA,16.0,11.235,11.5
Simone Fontecchio,UTA,7.0,12.5,9.5
Simone Fontecchio,UTA,7.0,12.5,9.5
Simone Fontecchio,UTA,7.0,11.154,9.5
Simone Fontecchio,UTA,7.0,11.154,9.5
Simone Fontecchio,UTA,7.0,12.211,9.5
Simone Fontecchio,UTA,7.0,12.211,9.5
Simone Fontecchio,UTA,7.0,11.075,9.5
Simone Fontecchio,UTA,7.0,11.075,9.5
Simone Fontecchio,UTA,3.0,11.429,8.5
Simone Fontecchio,UTA,3.0,11.429,8.5
Simone Fontecchio,UTA,3.0,10.818,8.5
Simone Fontecchio,UTA,3.0,10.818,8.5
Simone Fontecchio,UTA,13.0,11.5,8.5
Simone Fontecchio,UTA,13.0,11.5,8.5
Simone Fontecchio,UTA,13.0,10.857,8.5
Simone Fontecchio,UTA,13.0,10.857,8.5
Simone Fontecchio,UTA,0.0,11.0,8.5
Simone Fontecchio,UTA,0.0,11.0,8.5
Simone Fontecchio,UTA,0.0,10.667,8.5
Simone Fontecchio,UTA,0.0,10.667,8.5
Simone Fontecchio,UTA,10.0,10.885,8.5
Simone Fontecchio,UTA,10.0,10.885,8.5
Simone Fontecchio,UTA,10.0,10.633,8.5
Simone Fontecchio,UTA,10.0,10.633,8.5
Simone Fontecchio,UTA,18.0,11.148,8.5
Simone Fontecchio,UTA,18.0,11.148,8.5
Simone Fontecchio,UTA,18.0,10.754,8.5
Simone Fontecchio,UTA,18.0,10.754,8.5
Simone Fontecchio,UTA,10.0,11.107,10.5
Simone Fontecchio,UTA,10.0,11.107,10.5
Simone Fontecchio,UTA,10.0,10.742,10.5
Simone Fontecchio,UTA,10.0,10.742,10.5
Simone Fontecchio,UTA,5.0,10.897,9.5
Simone Fontecchio,UTA,5.0,10.897,9.5
Simone Fontecchio,UTA,5.0,10.651,9.5
Simone Fontecchio,UTA,5.0,10.651,9.5
Simone Fontecchio,UTA,5.0,10.7,7.5
Simone Fontecchio,UTA,5.0,10.7,7.5
Simone Fontecchio,UTA,5.0,10.562,7.5
Simone Fontecchio,UTA,5.0,10.562,7.5
Simone Fontecchio,UTA,14.0,10.806,7.5
Simone Fontecchio,UTA,14.0,10.806,7.5
Simone Fontecchio,UTA,14.0,10.615,7.5
Simone Fontecchio,UTA,14.0,10.615,7.5
Isaiah Stewart,DET,20.0,10.481,8.5
Isaiah Stewart,DET,12.0,10.774,9.5
Isaiah Stewart,DET,11.0,10.788,10.5
Isaiah Stewart,DET,11.0,10.794,9.5
Jalen Duren,DET,12.0,12.941,13.5
Jalen Duren,DET,17.0,13.167,12.5
Jalen Duren,DET,13.0,13.158,13.5
Jalen Duren,DET,20.0,13.5,12.5
Jalen Duren,DET,16.0,13.619,13.5
Jalen Duren,DET,15.0,14.0,14.5
Jalen Duren,DET,16.0,14.32,14.5
Jalen Duren,DET,8.0,14.077,15.5
Jalen Duren,DET,12.0,14.0,14.5
Jalen Duren,DET,14.0,14.0,14.5
Jalen Duren,DET,10.0,13.862,14.5
Jalen Duren,DET,22.0,14.133,13.5
Jaden Ivey,DET,11.0,15.357,13.5
Jaden Ivey,DET,22.0,15.412,15.5
Jaden Ivey,DET,18.0,15.737,18.5
Jaden Ivey,DET,32.0,16.905,17.5
Jaden Ivey,DET,18.0,16.955,20.5
Jaden Ivey,DET,17.0,16.957,20.5
Killian Hayes,DET,4.0,9.955,10.5
Killian Hayes,DET,8.0,9.231,
Killian Hayes,DET,2.0,8.963,6.5
Killian Hayes,DET,2.0,8.714,
Stephen Curry,GSW,33.0,28.24,28.5
Stephen Curry,GSW,30.0,28.308,29.5
Stephen Curry,GSW,18.0,27.893,28.5
Stephen Curry,GSW,13.0,27.379,27.5
Stephen Curry,GSW,25.0,27.3,28.5
Stephen Curry,GSW,36.0,27.581,28.5
Stephen Curry,GSW,30.0,27.656,27.5
Stephen Curry,GSW,9.0,27.059,30.5
Stephen Curry,GSW,15.0,26.714,28.5
Stephen Curry,GSW,27.0,26.722,27.5
Stephen Curry,GSW,26.0,26.703,26.5
