Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2024-01-29,LeBron James,7.5,1.77,2.0,24.5,1.91,1.83,6.5,1.77,2.0
2024-01-29,Dillon Brooks,,,,11.5,1.77,2.0,3.5,2.24,1.62
2024-01-29,Jabari Smith Jr.,,,,12.5,1.8,1.95,8.5,1.95,1.8
2024-01-29,Taurean Prince,,,,8.5,2.0,1.77,2.5,2.0,1.77
2024-01-19,Devin Vassell,3.5,2.0,1.77,20.5,1.83,1.91,4.5,2.05,1.74
2024-01-19,Jeremy Sochan,3.5,1.67,2.2,13.5,1.83,1.91,7.5,1.91,1.83
2024-01-19,LaMelo Ball,7.5,1.71,2.1,25.5,1.69,2.14,6.5,1.74,2.05
2024-01-19,Miles Bridges,2.5,1.74,2.05,22.5,1.95,1.8,8.5,1.87,1.87
2024-01-19,Terry Rozier,5.5,1.83,1.91,24.5,1.95,1.8,4.5,2.1,1.71
2024-01-19,Tre Jones,7.5,1.95,1.8,13.5,1.91,1.83,3.5,1.67,2.2
2024-01-19,Nick Richards,,,,9.5,1.83,1.91,10.5,1.91,1.83
2023-12-20,De'Aaron Fox,6.5,2.0,1.77,29.5,1.87,1.87,4.5,2.05,1.74
2023-12-20,Domantas Sabonis,6.5,1.74,2.05,18.5,1.91,1.83,12.5,1.77,2.0
2024-01-17,Dejounte Murray,3.5,1.6,2.3,20.5,1.74,2.05,4.5,1.74,2.05
2024-01-17,Jalen Johnson,3.5,2.1,1.71,14.5,1.83,1.91,8.5,1.91,1.83
2024-01-17,Jalen Suggs,2.5,2.0,1.77,11.5,1.8,1.95,3.5,1.83,1.91
2024-01-17,Paolo Banchero,5.5,1.95,1.8,27.5,1.87,1.87,6.5,1.77,2.0
2024-01-17,Trae Young,10.5,2.2,1.67,27.5,1.74,2.05,2.5,1.71,2.1
2024-01-17,Clint Capela,,,,10.5,2.0,1.77,8.5,1.69,2.14
2024-01-17,Saddiq Bey,,,,12.5,1.8,1.95,5.5,2.24,1.62
2023-12-30,Luka Doncic,10.5,1.95,1.8,36.5,1.8,1.95,9.5,1.91,1.83
2023-12-30,Stephen Curry,4.5,1.53,2.45,28.5,1.8,1.95,4.5,1.77,2.0
2023-12-30,Klay Thompson,,,,17.5,1.77,2.0,3.5,1.77,2.0
2024-01-23,Aaron Gordon,2.5,1.8,1.95,15.5,1.91,1.83,6.5,1.74,2.05
2024-01-23,Jamal Murray,7.5,1.71,2.1,24.5,1.8,1.95,3.5,1.69,2.14
2024-01-23,Kentavious Caldwell-Pope,2.5,2.14,1.69,9.5,1.95,1.8,2.5,1.77,2.0
2024-01-23,Nikola Jokic,8.5,1.69,2.14,28.5,1.83,1.91,11.5,1.67,2.2
2024-01-23,Tyrese Haliburton,12.5,1.83,1.91,19.5,1.8,1.95,3.5,2.3,1.6
2024-01-23,Michael Porter Jr.,,,,16.5,1.83,1.91,6.5,1.91,1.83
2024-01-23,Myles Turner,,,,15.5,1.83,1.91,6.5,2.0,1.77
2024-01-30,Draymond Green,7.5,1.69,2.14,9.5,2.0,1.77,7.5,1.83,1.91
2024-01-30,Jonathan Kuminga,2.5,2.4,1.56,19.5,1.83,1.91,6.5,2.0,1.77
2024-01-30,Klay Thompson,2.5,2.24,1.62,19.5,1.87,1.87,3.5,1.8,1.95
2024-01-30,Stephen Curry,5.5,2.0,1.77,27.5,1.74,2.05,4.5,1.91,1.83
2024-01-30,Andrew Wiggins,,,,13.5,1.87,1.87,4.5,1.71,2.1
2024-01-01,Donovan Mitchell,6.5,1.95,1.8,29.5,1.77,2.0,5.5,1.95,1.8
2024-01-01,Jakob Poeltl,2.5,2.3,1.6,9.5,1.95,1.8,8.5,1.83,1.91
2024-01-01,Jarrett Allen,2.5,1.67,2.2,17.5,1.95,1.8,11.5,1.95,1.8
2024-01-01,Max Strus,3.5,1.69,2.14,16.5,1.91,1.83,4.5,1.8,1.95
2024-01-01,Pascal Siakam,4.5,1.71,2.1,23.5,1.8,1.95,7.5,2.14,1.69
2024-01-01,Scottie Barnes,5.5,1.87,1.87,21.5,1.83,1.91,8.5,1.62,2.24
2024-01-27,Bojan Bogdanovic,2.5,2.1,1.71,19.5,1.87,1.87,3.5,1.87,1.87
2024-01-27,Deni Avdija,4.5,1.95,1.8,13.5,1.87,1.87,6.5,2.2,1.67
2024-01-27,Jordan Poole,3.5,2.2,1.67,15.5,1.8,1.95,2.5,2.4,1.56
2024-01-27,Kyle Kuzma,4.5,1.69,2.14,23.5,1.83,1.91,6.5,1.69,2.14
2024-01-27,Tyus Jones,7.5,1.77,2.0,13.5,1.95,1.8,2.5,1.69,2.14
2024-01-27,Daniel Gafford,,,,11.5,1.87,1.87,7.5,2.1,1.71
2024-01-27,Isaiah Stewart,,,,10.5,1.8,1.95,7.5,2.1,1.71
