Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-23,Shai Gilgeous-Alexander,7.5,2.14,1.69,33.5,1.71,2.1,5.5,1.87,1.87
2023-12-23,Luguentz Dort,,,,12.5,2.0,1.77,4.5,1.91,1.83
2023-12-31,Devin Vassell,3.5,1.95,1.8,18.5,1.83,1.91,3.5,1.69,2.14
2023-12-31,Jaylen Brown,3.5,1.62,2.24,23.5,1.95,1.8,5.5,1.8,1.95
2023-12-31,Jayson Tatum,4.5,1.62,2.24,26.5,1.77,2.0,8.5,1.77,2.0
2023-12-31,Jeremy Sochan,3.5,1.69,2.14,10.5,1.77,2.0,6.5,2.1,1.71
2023-12-31,Malaki Branham,3.5,2.1,1.71,10.5,1.91,1.83,3.5,2.14,1.69
2023-12-31,Victor Wembanyama,2.5,1.6,2.3,16.5,1.91,1.83,8.5,1.71,2.1
2023-12-31,Kristaps Porzingis,,,,20.5,1.95,1.8,8.5,1.95,1.8
2023-12-26,DeMar DeRozan,6.5,2.05,1.74,25.5,1.95,1.8,4.5,1.8,1.95
2023-12-26,Nikola Vucevic,3.5,2.1,1.71,19.5,1.91,1.83,11.5,1.87,1.87
2023-12-26,Trae Young,10.5,1.83,1.91,28.5,1.74,2.05,3.5,2.05,1.74
2023-12-26,Clint Capela,,,,13.5,1.95,1.8,10.5,1.69,2.14
2023-12-23,Dejounte Murray,5.5,2.0,1.77,19.5,1.69,2.14,4.5,1.74,2.05
2023-12-23,Desmond Bane,5.5,2.05,1.74,26.5,1.67,2.2,4.5,1.77,2.0
2023-12-23,Ja Morant,8.5,1.83,1.91,27.5,1.87,1.87,6.5,2.1,1.71
2023-12-23,Trae Young,10.5,1.8,1.95,30.5,1.77,2.0,3.5,2.3,1.6
2023-12-23,Vince Williams Jr.,2.5,1.91,1.83,7.5,1.74,2.05,5.5,1.71,2.1
2023-12-23,Clint Capela,,,,10.5,1.83,1.91,10.5,1.83,1.91
2023-12-23,Jaren Jackson Jr.,,,,21.5,1.71,2.1,6.5,1.91,1.83
2023-12-23,Saddiq Bey,,,,13.5,1.83,1.91,6.5,1.8,1.95
2023-12-23,Bismack Biyombo,,,,,,,6.5,1.95,1.8
2023-12-30,Anthony Davis,2.5,1.71,2.1,27.5,1.69,2.14,12.5,1.83,1.91
2023-12-30,Anthony Edwards,5.5,1.87,1.87,28.5,1.71,2.1,5.5,2.0,1.77
2023-12-30,Karl-Anthony Towns,3.5,2.14,1.69,20.5,1.74,2.05,8.5,1.8,1.95
2023-12-30,LeBron James,8.5,2.05,1.74,25.5,1.77,2.0,7.5,1.87,1.87
2023-12-30,Tyrese Haliburton,12.5,1.87,1.87,25.5,1.83,1.91,3.5,1.74,2.05
2023-12-30,Myles Turner,,,,17.5,1.83,1.91,7.5,2.05,1.74
2023-12-20,Cameron Johnson,2.5,2.0,1.77,13.5,1.95,1.8,4.5,1.91,1.83
2023-12-20,Cameron Thomas,2.5,2.1,1.71,24.5,1.67,2.2,3.5,1.74,2.05
2023-12-20,Jalen Brunson,6.5,1.83,1.91,25.5,1.74,2.05,3.5,1.56,2.4
2023-12-20,Julius Randle,4.5,1.74,2.05,24.5,1.67,2.2,10.5,1.87,1.87
2023-12-20,Mikal Bridges,3.5,1.77,2.0,21.5,1.87,1.87,4.5,1.71,2.1
2023-12-20,RJ Barrett,2.5,2.24,1.62,17.5,1.74,2.05,4.5,2.0,1.77
2023-12-20,Spencer Dinwiddie,8.5,2.1,1.71,16.5,1.95,1.8,4.5,2.24,1.62
2023-12-20,Nicolas Claxton,,,,12.5,1.95,1.8,9.5,1.87,1.87
2023-12-21,Anthony Edwards,4.5,1.67,2.2,26.5,1.83,1.91,5.5,2.14,1.69
2023-12-21,Karl-Anthony Towns,3.5,2.05,1.74,21.5,1.91,1.83,9.5,2.1,1.71
2023-12-20,Aaron Gordon,3.5,2.35,1.57,13.5,1.87,1.87,6.5,2.14,1.69
2023-12-20,Dennis Schroder,6.5,2.2,1.67,13.5,2.0,1.77,2.5,2.2,1.67
2023-12-20,Jakob Poeltl,2.5,2.4,1.56,9.5,1.74,2.05,7.5,1.77,2.0
2023-12-20,Jamal Murray,5.5,2.05,1.74,19.5,1.77,2.0,3.5,2.24,1.62
2023-12-20,Nikola Jokic,9.5,1.71,2.1,25.5,1.74,2.05,12.5,1.8,1.95
2023-12-20,OG Anunoby,2.5,1.91,1.83,13.5,1.77,2.0,3.5,1.77,2.0
2023-12-20,Pascal Siakam,4.5,1.71,2.1,21.5,1.69,2.14,6.5,1.87,1.87
2023-12-20,Scottie Barnes,5.5,1.8,1.95,20.5,1.91,1.83,7.5,1.6,2.3
2023-12-20,Kentavious Caldwell-Pope,,,,8.5,1.95,1.8,,,
2023-12-20,Michael Porter Jr.,,,,14.5,1.8,1.95,6.5,1.83,1.91
2023-12-20,Anthony Edwards,4.5,1.71,2.1,26.5,1.8,1.95,4.5,1.69,2.14
2023-12-20,Joel Embiid,5.5,2.0,1.77,33.5,1.69,2.14,11.5,1.77,2.0
2023-12-20,Karl-Anthony Towns,3.5,1.95,1.8,19.5,1.69,2.14,8.5,1.83,1.91
2023-12-20,Mike Conley,6.5,2.2,1.67,11.5,1.95,1.8,2.5,2.05,1.74
2023-12-20,Tyrese Maxey,6.5,1.91,1.83,24.5,1.83,1.91,3.5,2.0,1.77
2023-12-20,Rudy Gobert,,,,11.5,1.91,1.83,11.5,2.05,1.74
2023-12-27,De'Anthony Melton,3.5,1.83,1.91,12.5,1.8,1.95,4.5,1.91,1.83
2023-12-27,Franz Wagner,5.5,2.14,1.69,22.5,1.8,1.95,5.5,1.69,2.14
2023-12-27,Paolo Banchero,4.5,1.91,1.83,23.5,1.74,2.05,7.5,1.95,1.8
